word|origins|part_of_speech|pronunciation|meaning
alloy|late 16th century: from Old French aloi (noun) and French aloyer (verb), both from Old French aloier, aleier ‘combine’, from Latin alligare ‘bind’. In early use the term denoted the comparative purity of gold or silver; the sense ‘mixture of metals’ arose in the mid 17th century;Etymology Unknown|verb;noun|https://audio.oxforddictionaries.com/en/mp3/alloy_us_1_rr.mp3|mix (metals) to make an alloy;a metal made by combining two or more metallic elements, especially to give greater strength or resistance to corrosion
distraught|late Middle English: alteration of the obsolete adjective distract (from Latin distractus ‘pulled apart’), influenced by straught, archaic past participle of stretch.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/distraught--_gb_1.mp3|very worried and upset.
linnet|early 16th century: from Old French linette, from lin ‘flax’ (because the bird feeds on flaxseeds).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/linnet--_gb_1.mp3|a mainly brown and grey finch with a reddish breast and forehead.
varsity|mid 17th century: shortening of university, reflecting an archaic pronunciation.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/varsity--_gb_3.mp3|university.
purification|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/purification_us_1.mp3|the removal of contaminants from something
wearisome|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/wearisome_us_1.mp3|causing one to feel tired or bored
obelisk|mid 16th century: via Latin from Greek obeliskos, diminutive of obelos ‘pointed pillar’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/obelisk--_gb_1.mp3|a tapering stone pillar, typically having a square or rectangular cross section, set up as a monument or landmark.;another term for obelus.
cribo|late 19th century: of unknown origin.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/cribo--_gb_1.8.mp3|another term for indigo snake.
indolent|mid 17th century: from late Latin indolent-, from in- ‘not’ + dolere ‘suffer or give pain’. The sense ‘idle’ arose in the early 18th century.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/indolent--_gb_1.mp3|wanting to avoid activity or exertion; lazy.;(of a disease or condition) causing little or no pain.
pleasant|Middle English (in the sense ‘pleasing’): from Old French plaisant ‘pleasing’, from the verb plaisir (see please).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/pleasant--_gb_1.mp3|giving a sense of happy satisfaction or enjoyment.
kwashiorkor|1930s: a local word in Ghana.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/kwashiorkor--_gb_1.8.mp3|a form of malnutrition caused by protein deficiency in the diet, typically affecting young children in the tropics.
niacin|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/niacin_us_1.mp3|Form of Vitamin B
beaucoup|French, ‘a large quantity, a lot’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/beaucoup--_gb_1.mp3|many or much.
paucity|late Middle English: from Old French paucite or Latin paucitas, from paucus ‘few’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/paucity--_gb_1.8.mp3|the presence of something in only small or insufficient quantities or amounts.
accouterment|mid 16th century: from French, from accoutrer ‘clothe, equip’ (see accoutre).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/accoutrement--_gb_2.mp3|an additional item of dress or equipment.
ascribe|Middle English: from Latin ascribere, from ad- ‘to’ + scribere ‘write’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/ascribe--_gb_1.mp3|regard something as being due to (a cause).
impeachable|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/impeachable_us_1.mp3|capable of being impeached or accused
expunge|early 17th century: from Latin expungere ‘mark for deletion by means of points’, from ex- ‘out’ + pungere ‘to prick’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/expunge--_gb_1.mp3|obliterate or remove completely (something unwanted or unpleasant).
revendicate|mid 18th century. Probably an alteration of revindicate, after French revendiquer to reclaim, claim back as a rightful possession|verb|/home/pi/revendicate.mp3|To claim back; to recover by a formal claim.
hazelnut|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/hazelnut_us_2.mp3|a round brown hard-shelled nut that is the edible fruit of the hazel.
hindmost|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/hindmost_us_1.mp3|furthest back
lavender|Middle English: from Anglo-Norman French lavendre, based on medieval Latin lavandula .|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/lavender--_gb_1.mp3|a small aromatic evergreen shrub of the mint family, with narrow leaves and bluish-purple flowers, used in perfumery and medicine.;a pale blue colour with a trace of mauve.
bask|late Middle English (originally in the sense ‘bathe’): perhaps related to Old Norse batha ‘bathe’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/bask--_gb_1.mp3|lie exposed to warmth and light, typically from the sun, for relaxation and pleasure.
dirigible|late 16th century: from Latin dirigere ‘to direct’ + -ible.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/dirigible--_gb_2.mp3|capable of being steered, guided, or directed.
visibility|late Middle English: from French visibilite or late Latin visibilitas, from Latin visibilis (see visible).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/visibility--_gb_2.mp3|the state of being able to see or be seen.
aureole|Middle English: from Old French aureole, from Latin aureola (corona) ‘golden (crown)’, feminine of aureolus (diminutive of aureus, from aurum ‘gold’).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/aureole--_gb_1.mp3|a circle of light or brightness surrounding something, especially as depicted in art around the head or body of a person represented as holy.;another term for areola.;the zone of metamorphosed rock surrounding an igneous intrusion.
boucle|late 19th century: French, literally ‘buckled, curled’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/boucle--1_gb_1.mp3|yarn with a looped or curled ply, or fabric woven from this yarn.
puniness|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/puniness_us_1.mp3|puny quality or condition
souterrain|mid 18th century: from French, from sous ‘under’ + terre ‘earth’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/souterrain--_gb_1.mp3|an underground chamber or passage.
lobotomy|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/lobotomy_us_2.mp3|a surgical operation involving incision into the prefrontal lobe of the brain, formerly used to treat mental illness
impediment|late Middle English: from Latin impedimentum, from impedire (see impede).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/impediment--_gb_1.mp3|a hindrance or obstruction in doing something.;a defect in a person's speech, such as a lisp or stammer.
financier|early 17th century: from French, from finance (see finance).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/financier--_gb_1.8.mp3|a person concerned in the management of large amounts of money on behalf of governments or other large organizations.
recipient|mid 16th century: from Latin recipient- ‘receiving’, from the verb recipere .|noun;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/recipient--_gb_1.8.mp3|a person or thing that receives or is awarded something.
accumulate|late 15th century: from Latin accumulat- ‘heaped up’, from the verb accumulare, from ad- ‘to’ + cumulus ‘a heap’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/accumulate--_gb_1.8.mp3|gather together or acquire an increasing number or quantity of.
euripus|Unknown|noun|/home/pi/euripus.mp3|a narrow tract of water where the tide or a current flows and reflows with violence; a condition of rapid or dangerous fluctuation
zabaglione|Italian.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/zabaglione--_gb_1.mp3|an Italian sweet made of whipped and heated egg yolks, sugar, and Marsala wine, served hot or cold.
demurrage|mid 17th century (also in the general sense ‘delay’): from Old French demourage, from the verb demourer (see demur).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/demurrage--_gb_1.mp3|a charge payable to the owner of a chartered ship on failure to load or discharge the ship within the time agreed.
anyway|Etymology Unknown|adverb|https://audio.oxforddictionaries.com/en/mp3/anyway_us_1.mp3|used to end a conversation, to change the subject, or to resume a subject after interruption;used to confirm or support a point or idea just mentioned;used to indicate that something happened or will happen in spite of something else
karst|late 19th century: from German der Karst, the name of a limestone region in Slovenia.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/karst--_gb_1.8.mp3|landscape underlain by limestone which has been eroded by dissolution, producing ridges, towers, fissures, sinkholes and other characteristic landforms.
oeuvre|late 19th century: French, literally ‘work’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/oeuvre--_gb_1.8.mp3|the body of work of a painter, composer, or author.
prominent|late Middle English (in the sense ‘projecting’): from Latin prominent- ‘jutting out’, from the verb prominere . Compare with eminent.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/prominent--_gb_1.mp3|important; famous.;projecting from something; protuberant.;situated so as to catch the attention; noticeable.
coadjutor|late Middle English: via Old French from late Latin coadjutor, from co- (from Latin cum ‘together with’) + adjutor ‘assistant’ (from adjuvare ‘to help’).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/coadjutor--_gb_1.8.mp3|a bishop appointed to assist and often to succeed a diocesan bishop.
modesty|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/modesty_us_1.mp3|the quality or state of being unassuming or moderate in the estimation of one's abilities
acuity|late Middle English: from Old French acuite or medieval Latin acuitas, from Latin acuere ‘sharpen’ (see acute).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/acuity--_gb_1.8.mp3|sharpness or keenness of thought, vision, or hearing.
neigh|Old English hnǣgan (verb), of imitative origin; compare with Dutch dialect neijen .|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/neigh--_gb_1.mp3|a characteristic high whinnying sound made by a horse.
taverna|modern Greek, from Latin taberna (see tavern).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/taverna--_gb_1.mp3|a small Greek restaurant or cafe.
modiste|mid 19th century: French, from mode ‘fashion’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/modiste--_gb_1.8.mp3|a fashionable milliner or dressmaker.
paramountcy|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/paramountcy_us_1.mp3|supreme power or authority;the state or fact of being of greater importance than anything else
fluoride|early 19th century: from fluorine + -ide.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/fluoride--_gb_2.mp3|a compound of fluorine with another element or group, especially salt of the anion F− or an organic compound with fluorine bonded to an alkyl group.;sodium fluoride or another fluorine-containing salt added to water supplies or toothpaste in order to reduce tooth decay.
incoherent|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/incoherent_us_1.mp3|(of spoken or written language) expressed in an incomprehensible or confusing way; unclear;(of waves) having no definite or stable phase relationship.
abhorrence|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/abhorrence_us_3.mp3|a feeling of repulsion; disgusted loathing
calefacient|mid 17th century: from Latin calefacient- ‘making warm’, from the verb calefacere, from calere ‘be warm’ + facere ‘make’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/calefacient--_gb_1.8.mp3|a drug or other substance that gives a sensation of warmth.
nucleated|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/nucleated_us_1.mp3|having a nucleus
oracle|late Middle English: via Old French from Latin oraculum, from orare ‘speak’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/oracle--_gb_1.mp3|a priest or priestess acting as a medium through whom advice or prophecy was sought from the gods in classical antiquity.;a response or message given by an oracle, especially an ambiguous one.
whereas|late Middle English: from where + as1.|conjunction|//ssl.gstatic.com/dictionary/static/sounds/20200429/whereas--_gb_1.8.mp3|in contrast or comparison with the fact that.
pinioned|late Middle English: from Old French pignon, based on Latin pinna, penna ‘feather’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/pinion--_gb_1.mp3|restrain or immobilize (someone) by tying up or holding their arms or legs.;cut off the pinion of (a wing or bird) to prevent flight.
horizon|late Middle English: via Old French from late Latin horizon, from Greek horizōn (kuklos) ‘limiting (circle)’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/horizon--_gb_1.mp3|the line at which the earth's surface and the sky appear to meet.;the limit of a person's knowledge, experience, or interest.;a layer of soil or rock, or a set of strata, with particular characteristics.
recoup|early 17th century (as a legal term): from French recouper ‘retrench, cut back’, from re- ‘back’ + couper ‘to cut’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/recoup--_gb_1.mp3|regain (something lost or expended).
trouvaille|French, from trouver ‘find’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/trouvaille--_gb_1.mp3|a lucky find.
sandwich|mid 18th century: named after the 4th Earl of Sandwich (1718–92), an English nobleman said to have eaten food in this form so as not to leave the gaming table.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/sandwich--_gb_2.mp3|an item of food consisting of two pieces of bread with a filling between them, eaten as a light meal.;relating to a sandwich course.
curfew|Middle English (denoting a regulation requiring people to extinguish fires at a fixed hour in the evening, or a bell rung at that hour): from Old French cuevrefeu, from cuvrir ‘to cover’ + feu ‘fire’. The current sense dates from the late 19th century.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/curfew--_gb_1.mp3|a regulation requiring people to remain indoors between specified hours, typically at night.
headlong|Middle English headling  (from head + the adverbial suffix -ling ), altered in late Middle English by association with -long.|adverb;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/headlong--_gb_1.mp3|with the head foremost.;in a rush; with reckless haste.
demulcent|mid 18th century: from Latin demulcent- ‘stroking caressingly’, from the verb demulcere, from de- ‘away’ + mulcere ‘soothe’.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/demulcent--_gb_1.8.mp3|(of a substance) relieving inflammation or irritation.
bias|mid 16th century (in the sense ‘oblique line’; also as an adjective meaning ‘oblique’): from French biais, from Provençal, perhaps based on Greek epikarsios ‘oblique’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/bias--_gb_1.mp3|inclination or prejudice for or against one person or group, especially in a way considered to be unfair.;a direction diagonal to the weave of a fabric.;(in bowls) the irregular shape given to one side of a bowl.;a steady voltage, magnetic field, or other factor applied to a system or device to cause it to operate over a predetermined range.
jam|early 18th century: probably symbolic; compare with jag1 and cram.|verb;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/jam--_gb_1.mp3|squeeze or pack tightly into a specified space.;become or make unable to move or work due to a part seizing up or becoming stuck.;improvise with other musicians, especially in jazz or blues.
McMansion|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/mcmansion_1_us_1.mp3|a large modern house that is considered ostentatious and lacking in architectural integrity.
various|late Middle English: from Latin varius ‘changing, diverse’ + -ous.|determiner;adjective;pronoun|//ssl.gstatic.com/dictionary/static/sounds/20200429/various--_gb_3.mp3|more than one; several.
indigent|late Middle English: via Old French from late Latin indigent- ‘lacking’, from the verb indigere, from indi- (strengthened form of in- ‘into’) + egere ‘to need’.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/indigent--_gb_1.mp3|poor; needy.
impermeable|late 17th century: from French imperméable, or from late Latin impermeabilis, from in- ‘not’ + permeabilis (see permeable).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/impermeable--_gb_1.8.mp3|not allowing fluid to pass through.
italicization|Etymology Unknown|noun|/home/pi/italicization.mp3|to print ( textual matter) in italic type
maquette|early 20th century: from French, from Italian machietta, diminutive of macchia ‘spot’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/maquette--_gb_1.mp3|a sculptor's small preliminary model or sketch.
Ryeland|late 18th century; earliest use found in George Culley (bap. 1735, d. 1813), agriculturist. From Ryeland, the name of a former district in Herefordshire, western England|noun|/home/pi/Ryeland.mp3|A Ryeland sheep.;Designating wool and meat from a Ryeland sheep.;Designating a small, docile, hornless breed of sheep, bred for both meat and wool; designating a sheep of this breed.
factoid|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/factoid_us_1.mp3|a brief or trivial item of news or information.
tsukupin|Unknown|noun|/home/pi/tsukupin.mp3|a large sailing canoe of the Yap islands having a triangular sail and a single outrigger
sopapilla|American Spanish, diminutive of Spanish ‘sopaipa’ denoting a kind of sweet fritter.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/sopaipilla--_gb_1.mp3|(especially in New Mexico) a deep-fried pastry eaten with honey or sugar or as a bread.
encroach|late Middle English (in the sense ‘obtain unlawfully, seize’; formerly also as incroach ): from Old French encrochier ‘seize, fasten upon’, from en- ‘in, on’ + crochier (from croc ‘hook’, from Old Norse krókr ).|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/encroach--_gb_1.mp3|intrude on (a person's territory, rights, personal life, etc.).
disrepair|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/disrepair_us_1.mp3|poor condition of a building or structure due to neglect
r|1970s: the initial letter of reproduction or reproductive;Etymology Unknown|residual;noun|/home/pi/r.mp3;https://audio.oxforddictionaries.com/en/mp3/r_us_1.mp3|roentgen(s).;an unspecified alkyl or other organic radical or group.;rook (in recording moves in chess);the gas constant.;the eighteenth letter of the alphabet.;restricted, a rating in the Voluntary Movie Rating System that children under 17 require an accompanying parent or adult guardian for admission.;(in the US) Republican;River (chiefly on maps);Regina or Rex;a figure expressing the rate at which an infectious disease spreads, taken as the average number of cases arising by transmission from a single infected individual;radius;(on a gearshift) reverse.;Réaumur;rule;registered as a trademark.;(giving position or direction) right;recto.;correlation coefficient;electrical resistance.;rand
remorseful|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/remorseful_us_1.mp3|filled with remorse; sorry
exhibition|late Middle English (in the sense ‘maintenance, support’; hence exhibition (sense 4), mid 17th century): via Old French from late Latin exhibitio(n- ), from Latin exhibere ‘hold out’ (see exhibit).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/exhibition--_gb_1.mp3|a public display of works of art or items of interest, held in an art gallery or museum or at a trade fair.;a display or demonstration of a skill.;(in sport) a game whose outcome does not affect a team's standing, typically one played before the start of a regular season.;a scholarship awarded to a student at a school or university, usually after a competitive examination.
Svengali|early 20th century: the name of a musician in George du Maurier's novel Trilby (1894), who controls Trilby's stage singing hypnotically.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/svengali--_gb_1.mp3|a person who exercises a controlling or mesmeric influence on another, especially for a sinister purpose.
respect|late Middle English: from Latin respectus, from the verb respicere ‘look back at, regard’, from re- ‘back’ + specere ‘look at’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/respect--_gb_1.mp3|a feeling of deep admiration for someone or something elicited by their abilities, qualities, or achievements.;due regard for the feelings, wishes, or rights of others.;a particular aspect, point, or detail.
vantage|Middle English: from Anglo-Norman French, shortening of Old French avantage ‘advantage’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/vantage--_gb_2.mp3|a place or position affording a good view of something.
sturnine|Unknown|adjective|/home/pi/sturnine.mp3|"of, relating to, or resembling a starling"
bottle|late Middle English: from Old French boteille, from medieval Latin butticula, diminutive of late Latin buttis ‘cask, wineskin’ (see butt4).|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/bottle--_gb_1.mp3|a glass or plastic container with a narrow neck, used for storing drinks or other liquids.;the courage or confidence needed to do something difficult or dangerous.
pigsty|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/pigsty_us_1.mp3|a pigpen.
exercise|Middle English (in the sense ‘application of a right’): via Old French from Latin exercitium, from exercere ‘keep busy, practise’, from ex- ‘thoroughly’ + arcere ‘keep in or away’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/exercise--_gb_1.mp3|activity requiring physical effort, carried out to sustain or improve health and fitness.;an activity carried out for a specific purpose.;the use or application of a faculty, right, or process.
establishment|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/establishment_us_1.mp3|the action of establishing something or being established;a group in a society exercising power and influence over matters of policy or taste, and seen as resisting change;a business organization, public institution, or household;the ecclesiastical system organized by law.
frugivore|mid 19th century: from Latin frux, frug- ‘fruit’ + -vore (see -vorous).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/frugivore--_gb_1.mp3|an animal that feeds on fruit.
apology|mid 16th century (denoting a formal defence against an accusation): from French apologie, or via late Latin from Greek apologia ‘a speech in one's own defence’, from apo ‘away’ + -logia (see -logy).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/apology--_gb_1.mp3|a regretful acknowledgement of an offence or failure.;a very poor or inadequate example of.;another term for apologia.
Brandywine|Unknown|noun|/home/pi/Brandywine.mp3|a large globe-shaped tomato that typically ranges in color from pinkish to purplish-red
haricot|mid 17th century: French, perhaps from Aztec ayacotli .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/haricot--_gb_1.mp3|an edible bean of a variety with small white seeds, used especially to make baked beans.
exquisite|late Middle English (in the sense ‘precise’): from Latin exquisit- ‘sought out’, from the verb exquirere, from ex- ‘out’ + quaerere ‘seek’.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/exquisite--_gb_2.mp3|extremely beautiful and delicate.;intensely felt.
Zanni|Unknown|noun|/home/pi/Zanni.mp3|"a madcap clown in masked comedy traditionally from Bergamo, Italy usually playing the part of a comic servant and indulging in acrobatic antics and tricks"
toughness|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/toughness_us_1.mp3|demonstration of a strict and uncompromising approach;the quality of being strong and prone to violence;the state of being strong enough to withstand adverse conditions or rough handling;the ability to deal with hardship or to cope in difficult situations
yonder|Middle English: of Germanic origin; related to Dutch ginder ‘over there’, also to yon.|adverb;determiner;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/yonder--_gb_1.mp3|at some distance in the direction indicated; over there.
banquet|late 15th century: from French, diminutive of banc ‘bench’ (see bank1).|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/banquet--_gb_1.mp3|an elaborate and formal meal for many people.
pontiff|late 17th century (denoting an early Christian bishop): from French pontife, from Latin pontifex (see pontifex).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/pontiff--_gb_1.mp3|the Pope.
pantheon|late Middle English (referring especially to the Pantheon, a large circular temple in Rome): via Latin from Greek pantheion, from pan ‘all’ + theion ‘holy’ (from theos ‘god’).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/pantheon--_gb_1.mp3|a group of particularly respected, famous, or important people.;all the gods of a people or religion collectively.
bachelorette|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/bachelorette_us_1.mp3|a small bachelor apartment;a young unmarried woman
loathe|Old English lāthian, of Germanic origin; related to loath.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/loathe--_gb_1.mp3|feel intense dislike or disgust for.
hermetically|Etymology Unknown|adverb|https://audio.oxforddictionaries.com/en/mp3/hermetically_us_1.mp3|in a way that is completely airtight
beneficent|early 17th century: from Latin beneficent- (stem of beneficentior, comparative of beneficus ‘favourable, generous’), from bene facere ‘do good (to)’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/beneficent--_gb_1.mp3|(of a person) generous or doing good.
specious|late Middle English (in the sense ‘beautiful’): from Latin speciosus ‘fair’, from species (see species).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/specious--_gb_1.mp3|superficially plausible, but actually wrong.
esoteric|mid 17th century: from Greek esōterikos, from esōterō, comparative of esō ‘within’, from es, eis ‘into’. Compare with exoteric.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/esoteric--_gb_1.mp3|intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.
muscular|late 17th century: alteration of earlier musculous, in the same sense.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/muscular--_gb_1.8.mp3|relating to or affecting the muscles.
festooned|mid 17th century: from French feston, from Italian festone ‘festal ornament’, from festum, (plural) festa ‘feast’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/festoon--_gb_1.mp3|adorn (a place) with chains, garlands, or other decorations.
chalet|late 18th century: from Swiss French, diminutive of Old French chasel ‘farmstead’, based on Latin casa ‘hut, cottage’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/chalet--_gb_1.mp3|a wooden house with overhanging eaves, typically found in the Swiss Alps.
sphygmometer|Unknown|noun|/home/pi/sphygmometer.mp3|an instrument for measuring the strength of the pulse beat
liaise|1920s (originally military slang): back-formation from liaison.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/liaise--_gb_2.mp3|cooperate on a matter of mutual concern.
Nicoise|Unknown|noun|/home/pi/Nicoise.mp3|type of sald in the city of Nice France
naissant|late 16th century: from French, literally ‘being born’, present participle of naître, from Latin nasci ‘be born’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/naissant--_gb_1.mp3|(of a charge, especially an animal) issuing from the middle of an ordinary, especially a fess.
scythe|Old English sīthe, of Germanic origin; related to Dutch zeis and German Sense .|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/scythe--_gb_1.mp3|a tool used for cutting crops such as grass or corn, with a long curved blade at the end of a long pole attached to one or two short handles.
pellet|late Middle English: from Old French pelote ‘metal ball’, from a diminutive of Latin pila ‘ball’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/pellet--_gb_1.mp3|a small, rounded, compressed mass of a substance.
